Comment,Sentiment,Score
"Batayein comments mein, aapko kis problem ka solution chahiye Manju Devi se? 😃💬",Negative,-0.1027
"<a href=""https://www.youtube.com/watch?v=cDE9UkKlpXI"">https://youtu.be/cDE9UkKlpXI?si=1lAcGv6imFLcpSQB</a><br>Ham se aage koi nahi",Neutral,0.0
"<a href=""https://www.youtube.com/watch?v=GVxadWl5Cjk&amp;t=46"">0:46</a> bana bhi nahi rahe the 😂",Neutral,0.0
🌟😍😍🌟👻😍💫🤗🥰🤗🥰😍👻💖🌟💖🌟😍🤗👻👻🤗🎉😊❤🎉,Neutral,0.0
Itna tagda content nhi dekha Aaj tk,Neutral,0.0
Lajawab ❤❤❤,Neutral,0.0
❤❤❤😂,Neutral,0.0
Even Secretary got his name in credits. Just shows the level of corruption and power in India,Positive,0.3612
Sooo good,Positive,0.4404
Season 4 kab aaega,Neutral,0.0
Thoda kahani ko fast forward Kiya jaye,Neutral,0.0
Iska Naya season laaya jaaye jaldi se,Neutral,0.0
Dekh raha hai vinod kaise ek ek video dalke hype banaya ja raha hai 😂😂😂,Neutral,0.0
"Inse atcha toh pradhan ji hei:Woh seena thok ke kehte hei,Haye sashur  nahi karenge kaam😂😂😂",Neutral,0.0
"<a href=""https://www.youtube.com/watch?v=996KQMMaQMs"">https://youtu.be/996KQMMaQMs?si=ZcRyLG3r57BnGrS-</a>",Neutral,0.0
ye konsa episode hai be?,Neutral,0.0
Bhai section 4 kab ayega,Neutral,0.0
Need atleast 2  episode every week...Very good work,Positive,0.4404
Thund ki samasya 😅,Neutral,0.0
"<a href=""https://www.youtube.com/@niranjanjha389civilengineer"">https://www.youtube.com/@niranjanjha389civilengineer</a>",Neutral,0.0
yeh sab choro tum to yeh batao vo ladki ne ladke ko pant utar ke hi kyo maara <br>🤔🤔🤔🤔🤔,Neutral,0.0
Hamare yaha ke mukhiya to apne aap ko PM se bhi upar manta hai,Neutral,0.0
Banrakas😢,Neutral,0.0
"&quot;If the chief isn&#39;t a man, you think they can be suppressed&quot; the line👆a beautiful message for society.",Positive,0.5994
❤❤❤❤,Neutral,0.0
Arey bhai koi is geysre bnaney ka video bhej do,Neutral,0.0
Arey bhai koi is geysre ko bnaney ka video share kr do,Positive,0.296
Arey bhai yeh toh btao yeh geyser kasey bnaya h,Neutral,0.0
Goood job by government,Neutral,0.0
"Panchayat isn’t just a web series—it’s a quiet, heartfelt ode to rural India. It shows life in its purest, simplest form. Humor and hardship blend seamlessly, with moments that linger longer than plot twists. Raw, real, and effortlessly charming.",Positive,0.7964
Prime example of when a woman is given the right opportunity ❤,Positive,0.4215
Yeh season 4 ha kia?,Negative,-0.4215
Panchayath 3...?,Neutral,0.0
"<a href=""https://www.youtube.com/watch?v=ND72ovDlSbE"">https://youtu.be/ND72ovDlSbE</a>",Neutral,0.0
सहायक के बारे में भी सोच लो नौकर की तरह कितना नाचता है 6000 रुपैया में गांव क्लास का टॉपर शौचालय का सर्वे खेत नली घर पेंशन सैकड़ों काम,Neutral,0.0
मैं एक प्रधान हु ठीक हैं हम सबकी परेशानी दूर कर सकते हैं पर प्राकृतिक से तो नहीं लड  सकते अब ठण्ड हैं तो है और एक गांव में कितने लोग होते है सबको एक साथ एसे  केसे मुहैया करा दिया जाये,Neutral,0.0
मुफ्त खोर समाज...<br>कुछ नहीं हो सकता...,Neutral,0.0
Dekh rha hai binod kaise choti choti clip dalke mahool bnaya ja rha hai....😂,Neutral,0.0
Season 4 jaldi se Lao 😢,Neutral,0.0
BAHOOT HI KHOOB AAENA DIKHAYA HAI SALUTE HAI AAPKO AAUR AAPKE SOCH KO...,Neutral,0.0
❤❤,Neutral,0.0
"<a href=""https://www.youtube.com/watch?v=GVxadWl5Cjk&amp;t=915"">15:15</a> daan ki diwaar .... kashmir mei dekha tga",Neutral,0.0
"I hope the Government&#39;s scheme, youtube k entertainment video ki tarah bss na rah jaye, balki jarurat mand ko unki sahayata milte rahe pure Bharat me.",Positive,0.6908
National show of india ❤😍😍,Neutral,0.0
Ek bihar ke liye bhi bann na chaiye esi series,Neutral,0.0
"<a href=""https://www.youtube.com/watch?v=GVxadWl5Cjk&amp;t=738"">12:18</a> pe dekhenge to pata chalega Pradhan Pati ji 2011 se 2016 tak actually Pradhan ji the... Issi liye log unhe Pradhan ji kehke bulate h",Neutral,0.0
Panchayat so 4 reales date,Neutral,0.0
Season 4 jaldi laiye sir ji ?😢,Neutral,0.0
"ठंड भगाना शब्द का प्रयोग गलत होगा  , ठंड से लोगों को राहत पहुंचाना होना चाहिए।",Neutral,0.0
